Time (s),mag_x,mag_y,mag_z
1479414248,25.184729,7.468262,-61.023186
1479414248,25.43458,7.703125,-61.222378
1479414248,25.706883,7.821875,-61.171498
1479414248,25.73689,7.923735,-61.308465
1479414248,25.466407,8.431425,-61.31203
1479414248,25.162939,9.378613,-60.93589
1479414248,25.012172,9.279578,-60.989488
1479414248,25.103978,9.534243,-60.925682
1479414248,25.713141,9.83551,-60.688627
1479414248,25.358076,9.34186,-61.842485
1479414248,24.993883,9.478566,-61.737661
1479414248,25.302678,9.308448,-61.633959
1479414248,25.094409,9.313556,-61.710997
1479414248,24.577235,9.113489,-61.611698
1479414248,24.296788,9.088447,-61.763266
1479414248,24.182633,8.914107,-61.4209
1479414248,24.270794,8.790661,-61.050003
1479414248,24.408312,8.839855,-61.675446
1479414248,24.16165,8.454697,-61.533953
1479414248,24.385832,8.176631,-61.610514
1479414248,24.003522,8.633561,-61.980919
1479414248,23.91024,8.497083,-61.848409
1479414248,23.815059,8.645523,-61.253374
1479414248,23.975717,8.782744,-60.772209
1479414248,24.291805,8.943891,-60.806076
1479414248,24.27983,8.572835,-61.171003
1479414248,24.348552,8.517643,-61.270554
1479414248,24.113842,8.611771,-61.350195
1479414248,24.070918,8.687073,-61.413908
1479414248,24.036578,8.747315,-61.464878
1479414248,23.864263,8.657227,-61.505654
1479414248,23.225051,9.398673,-61.18595
1479414248,23.287463,9.247454,-61.35259
1479414248,23.116617,9.527512,-61.34027
1479414248,23.490404,9.488806,-61.33589
1479414248,23.572167,9.25042,-61.122151
1479414248,23.637578,9.059712,-60.95116
1479414248,23.617484,8.976285,-61.164758
1479414248,23.60141,8.909544,-61.335636
1479414248,23.516128,8.925292,-60.981792
1479414248,23.523682,8.823515,-61.607522
1479414248,23.59879,8.856469,-61.339457
1479414248,23.731298,8.537128,-61.335239
1479414248,23.994531,8.422981,-61.5394
1479414248,23.699501,9.124302,-61.838251
1479414248,23.460926,9.893143,-61.340676
1479414249,23.414095,9.788977,-61.248499
1479414249,23.149011,9.974542,-61.262473
1479414249,23.237357,10.706479,-61.088603
1479414249,23.659417,10.501121,-61.204634
1479414249,23.615387,10.329859,-61.245578
1479414249,23.889419,10.268965,-61.680605
1479414249,24.108645,10.496813,-61.748314
1479414249,24.284026,10.679091,-61.802481
1479414249,24.029621,10.485244,-61.754341
1479414249,24.003541,10.600695,-61.737225
1479414249,23.982677,10.554775,-61.723532
1479414249,24.038407,10.58718,-62.062968
1479414249,24.082992,10.613104,-62.334517
1479414249,23.828972,10.495561,-62.131287
1479414249,23.831388,10.542681,-62.138233
1479414249,23.700111,10.370083,-62.184494
1479414249,23.595089,10.232004,-62.221503
1479414249,23.728337,10.190681,-62.181033
1479414249,24.13748,9.923755,-62.473145
1479414249,23.727719,10.497208,-62.522503
1479414249,23.39991,10.95597,-62.561988
1479414249,23.572194,10.631573,-62.593577
1479414249,23.710021,10.233774,-62.478691
1479414249,23.573497,9.955084,-61.777904
1479414249,23.421376,9.969145,-61.685997
1479414249,23.661789,9.772973,-61.682549
1479414249,23.854119,10.030878,-61.819947
1479414249,24.007983,10.237203,-61.929866
1479414249,24.446813,10.077982,-62.074133
1479414249,24.756633,9.948425,-62.558902
1479414249,24.7235,10.461672,-62.699153
1479414249,24.631066,10.650979,-62.563152
1479414249,24.412275,10.664143,-62.594508
1479414249,24.16482,10.605533,-62.409358
1479414249,23.953329,10.521135,-62.002586
1479414249,23.870086,10.698549,-62.146055
1479414249,23.664141,10.450252,-62.356028
1479414249,23.711157,10.157858,-62.358731
1479414249,23.74877,9.923943,-62.08058
1479414249,23.996125,10.220795,-62.068294
1479414249,24.19401,10.458277,-62.058465
1479414249,24.135052,10.440841,-62.12068
1479414249,24.305152,10.21947,-62.380687
1479414249,24.441231,10.042373,-62.588692
1479414249,24.260407,10.177258,-62.334627
1479414249,23.892954,9.320475,-62.088171
1479414249,23.749364,8.977474,-62.284601
1479414249,24.310265,9.410037,-62.693601
1479414249,24.445322,9.809671,-62.839023
1479414249,24.943976,9.431002,-62.613947
1479414249,25.024712,9.204177,-62.565066
1479414249,24.727192,9.230139,-62.455882
1479414250,24.127066,9.043486,-62.298458
1479414250,23.646966,8.894164,-62.172518
1479414250,23.697417,8.636425,-61.93161
1479414250,23.407957,8.610984,-61.794937
1479414250,23.324093,9.244624,-61.749513
1479414250,23.719436,9.166169,-61.734457
1479414250,23.552408,8.797911,-61.542618
1479414250,23.621771,9.250829,-61.567846
1479414250,23.677261,9.613164,-61.588029
1479414250,24.410856,9.131396,-62.70088
1479414250,24.670638,9.310195,-62.70469
1479414250,24.46535,9.705947,-62.710177
1479414250,24.931499,9.424133,-62.501893
1479414250,25.602754,9.018321,-62.482277
1479414250,25.649183,9.122584,-62.418852
1479414250,25.806143,9.303145,-62.198756
1479414250,25.786868,9.447595,-62.443147
1479414250,26.019831,9.406695,-62.79507
1479414250,26.175084,9.599575,-63.130433
1479414250,25.096328,9.729936,-62.789952
1479414250,24.639641,9.789027,-62.215323
1479414250,24.274291,9.8363,-61.755619
1479414250,23.791641,9.33742,-61.9486
1479414250,23.523469,9.129311,-62.172944
1479414250,23.483777,8.454817,-62.557605
1479414250,23.784131,8.630651,-62.449914
1479414250,23.999376,8.538148,-62.505073
1479414250,24.093679,8.326837,-63.086985
1479414250,23.837522,8.528267,-63.293886
1479414250,24.783043,8.614473,-62.624162
1479414250,24.895966,8.412672,-62.713394
1479414250,24.986305,8.251232,-62.784779
1479414250,24.696466,8.329501,-62.77181
1479414250,24.609439,8.668679,-62.90159
1479414250,24.48412,8.880533,-63.088474
1479414250,24.222296,9.455208,-63.084844
1479414250,24.012837,9.914948,-63.081939
1479414250,24.334045,10.148302,-63.063741
1479414250,24.037841,10.104915,-62.895962
1479414250,24.010117,10.01987,-62.790678
1479414250,23.188038,9.897405,-62.386787
1479414250,23.357157,9.487152,-62.716953
1479414250,23.320726,9.249097,-62.927783
1479414250,23.253781,9.998719,-62.993113
1479414250,23.165603,10.142335,-63.078633
1479414250,23.477259,9.85572,-63.534289
1479414250,23.778917,9.889654,-63.511574
1479414251,23.658134,9.985942,-63.143011
1479414251,23.561507,10.062973,-62.848161
1479414251,23.773894,9.709754,-62.472124
1479414251,23.581693,9.6346,-62.661842
1479414251,23.427933,9.574477,-62.813616
1479414251,23.377347,9.872082,-62.444488
1479414251,23.524837,9.941366,-62.074342
1479414251,23.617733,9.838558,-62.406208
1479414251,23.584183,9.791452,-63.013411
1479414251,23.719613,9.699958,-63.094871
1479414251,23.538269,9.903326,-63.580508
1479414251,24.103055,9.705469,-64.257585
1479414251,23.971737,9.7515,-63.60592
1479414251,23.438678,9.518226,-62.698308
1479414251,23.359251,9.367473,-62.428547
1479414251,23.829354,9.084213,-62.206512
1479414251,24.205437,8.857605,-62.028883
1479414251,24.144194,8.607178,-62.097014
1479414251,24.186363,7.375391,-62.321264
1479414251,23.984091,7.421407,-62.190763
1479414251,24.083897,7.612123,-62.128982
1479414251,23.829696,7.265089,-61.96686
1479414251,23.9706,7.111063,-61.803481
1479414251,24.383561,6.19517,-61.373166
1479414251,23.747434,5.417615,-60.19434
1479414251,23.476778,4.718053,-59.122659
1479414251,23.846123,3.780101,-59.184302
1479414251,23.8073,3.497859,-58.957456
1479414251,23.840392,3.234255,-58.672119
1479414251,23.852157,2.725685,-58.570666
1479414251,23.86157,2.318829,-58.489503
1479414251,24.351934,2.408936,-57.646383
1479414251,24.406235,1.927149,-57.329608
1479414251,24.449676,1.541719,-57.076188
1479414251,24.339585,1.233376,-56.873452
1479414251,24.106668,0.433575,-57.131732
1479414251,23.76789,-0.906384,-56.654801
1479414251,23.649312,-1.278233,-56.536342
1479414251,23.337185,-1.506571,-56.231341
1479414251,23.015061,-1.6201,-55.777106
1479414251,22.757361,-1.710924,-55.413717
1479414251,22.985733,-1.783583,-55.403319
1479414251,22.878743,-2.394835,-54.974532
1479414251,22.793151,-2.883837,-54.631502
1479414252,22.669899,-3.339093,-54.38982
1479414252,22.163201,-3.866804,-53.288754
1479414252,22.368121,-3.954364,-53.516446
1479414252,22.405563,-3.686775,-53.365771
1479414252,22.178499,-3.834629,-53.353097
1479414252,22.088112,-3.897391,-53.474511
1479414252,22.30549,-3.9476,-53.151173
1479414252,22.479392,-3.849487,-53.172815
1479414252,22.618514,-3.770996,-53.190128
1479414252,22.874656,-4.123047,-52.923667
1479414252,22.862303,-4.335547,-52.640419
1479414252,22.864997,-4.806965,-52.002336
1479414252,23.145938,-5.964155,-50.083209
1479414252,23.224173,-6.361559,-49.947585
1479414252,23.141917,-6.679482,-49.418616
1479414252,23.148534,-7.279523,-49.345832
1479414252,23.153827,-7.759556,-49.287604
1479414252,23.013218,-7.452176,-49.241022
1479414252,23.552528,-7.690257,-48.993522
1479414252,23.983976,-7.880721,-48.795522
1479414252,24.329134,-8.033093,-48.917435
1479414252,24.387995,-7.947568,-48.664574
1479414252,24.435084,-7.879149,-48.462286
1479414252,24.25549,-7.755272,-48.230377
1479414252,24.111814,-7.656171,-48.04485
1479414252,24.475025,-7.92232,-48.119211
1479414252,24.046292,-8.052556,-48.662624
1479414252,23.509925,-8.170561,-48.951272
1479414252,23.587784,-7.919261,-48.971957
1479414252,23.569542,-7.93075,-49.632446
1479414252,23.36957,-7.481774,-50.629799
1479414252,23.330656,-7.22995,-51.01556
1479414252,22.937416,-6.959351,-51.394246
1479414252,22.695246,-6.812012,-51.767273
1479414252,22.09217,-6.897766,-52.369282
1479414252,22.090911,-6.917461,-52.17114
1479414252,22.234949,-6.90241,-51.511735
1479414252,21.660853,-7.279965,-51.005623
1479414252,21.56256,-8.149577,-49.675148
1479414252,21.885049,-8.732162,-48.850276
1479414252,21.518021,-10.54418,-46.556163
1479414252,21.433768,-11.159448,-45.759744
1479414252,21.782015,-11.554902,-45.297484
1479414252,22.060612,-11.871266,-44.927676
1479414253,22.066225,-12.193497,-44.281439
1479414253,22.070714,-12.866126,-43.764449
1479414253,22.074306,-13.40423,-43.350857
1479414253,22.294445,-14.042134,-42.949906
1479414253,21.963603,-13.930192,-42.41891
1479414253,21.69893,-13.840638,-41.994114
1479414253,22.138988,-13.699855,-41.864511
1479414253,22.128925,-13.79465,-41.690751
1479414253,22.042013,-14.276858,-41.510614
1479414253,22.123767,-14.187112,-41.477711
1479414253,22.18917,-14.115315,-41.451389
1479414253,22.024227,-14.541861,-41.220097
1479414253,21.892273,-14.744818,-41.175219
1479414253,21.373979,-15.389894,-40.583056
1479414253,22.268581,-15.505236,-40.002798
1479414253,22.811975,-15.515518,-39.640755
1479414253,22.305205,-15.454602,-39.421199
1479414253,22.044633,-15.682432,-39.245554
1479414253,21.836176,-15.864696,-39.105038
1479414253,21.886675,-15.941367,-38.502079
1479414253,22.071919,-16.140984,-38.44018
1479414253,22.220113,-16.300678,-38.39066
1479414253,22.201764,-16.392357,-37.758728
1479414253,22.355151,-16.902716,-36.350243
1479414253,22.301855,-16.910064,-36.01793
1479414253,22.621328,-16.985083,-36.242626
1479414253,22.949329,-17.25252,-35.79168
1479414253,23.211729,-17.466469,-35.430923
1479414253,23.276805,-17.637629,-35.282474
1479414253,22.900362,-17.53573,-34.671206
1479414253,22.738024,-17.9696,-34.254231
1479414253,22.148835,-18.141702,-33.580453
1479414253,21.757367,-18.359803,-33.227069
1479414253,21.89605,-18.144874,-33.028844
1479414253,21.371535,-18.111939,-32.603243
1479414253,21.152853,-18.361427,-32.389627
1479414253,20.977908,-18.561017,-32.218733
1479414253,20.910374,-18.789829,-31.871785
1479414253,20.740702,-19.050179,-31.442256
1479414253,20.720609,-18.904597,-31.250603
1479414253,20.704534,-18.788131,-31.09728
1479414253,20.608965,-18.883155,-31.058698
1479414253,20.832485,-18.978399,-30.733522
1479414253,20.794035,-19.123736,-30.823772
1479414253,20.835697,-19.170864,-30.545581
1479414253,20.869027,-19.208567,-30.323028
1479414253,21.112956,-19.307869,-29.794595
1479414253,21.597797,-20.10738,-29.034997
1479414253,21.913238,-20.096061,-28.974405
1479414253,22.165591,-20.087006,-28.925931
1479414253,23.533854,-19.78408,-27.356633
1479414253,23.534505,-19.76828,-27.141167
1479414253,23.67987,-20.032202,-26.828637
1479414253,24.158272,-19.759356,-26.648692
1479414254,24.497217,-19.532612,-26.052742
1479414254,24.594884,-20.120231,-26.098054
1479414254,24.455751,-20.106341,-25.783912
1479414254,24.400244,-20.501184,-25.331549
1479414254,24.445432,-20.358826,-24.535449
1479414254,24.263768,-20.781202,-24.323594
1479414254,24.074593,-21.182002,-23.808289
1479414254,24.256784,-20.886617,-23.60171
1479414254,24.402537,-20.65031,-23.436447
1479414254,23.577655,-20.945249,-23.374314
1479414254,23.845414,-21.730124,-22.24463
1479414254,23.807941,-21.386294,-20.762902
1479414254,24.043462,-21.050051,-20.184306
1479414254,24.165348,-21.049846,-19.70152
1479414254,24.619075,-21.195737,-19.335201
1479414254,25.851818,-21.544101,-19.22817
1479414254,27.419232,-20.986831,-18.820431
1479414254,27.977059,-20.67751,-18.772577
1479414254,27.88571,-20.413884,-18.521968
1479414254,27.812631,-20.202982,-18.321481
1479414254,29.14135,-19.885456,-18.046796
1479414254,29.613784,-19.7111,-18.011422
1479414254,30.511354,-19.778074,-17.133561
1479414254,30.859377,-19.855844,-16.772503
1479414254,30.770939,-19.618269,-16.641597
1479414254,31.569252,-19.843053,-16.536872
1479414254,31.773371,-19.884599,-16.453091
1479414254,31.936666,-19.917836,-16.386067
1479414254,32.038152,-19.791887,-15.097546
1479414254,32.076069,-19.912807,-14.670928
1479414254,32.058248,-19.741228,-14.126676
1479414254,32.164567,-19.526577,-14.104466
1479414254,32.245246,-19.424901,-14.002406
1479414254,32.108583,-20.148031,-13.754884
1479414254,31.915148,-20.128582,-13.246408
1479414254,31.977666,-20.182163,-12.769548
1479414254,32.02768,-20.225028,-12.388061
1479414254,31.778004,-20.397601,-12.50334
1479414254,31.54883,-19.774934,-12.795482
1479414254,31.271799,-19.749787,-12.35175
1479414254,31.100877,-19.671705,-11.983744
1479414254,31.253827,-19.609239,-11.829495
1479414254,31.376187,-19.559267,-11.706097
1479414254,31.691341,-19.864992,-11.116831
1479414254,31.219245,-19.694729,-10.785574
1479414254,30.841568,-19.558518,-10.520569
1479414255,29.750925,-19.381134,-8.797935
1479414255,29.666912,-19.169361,-8.650145
1479414255,29.454858,-19.414786,-8.251601
1479414255,29.285215,-19.611126,-7.932765
1479414255,29.077079,-19.560777,-7.887931
1479414255,28.91057,-19.520497,-7.852064
1479414255,26.120303,-20.108386,-7.179379
1479414255,25.893352,-20.166006,-6.934832
1479414255,26.146323,-19.93554,-6.318725
1479414255,26.348699,-19.751167,-5.825839
1479414255,25.713121,-19.596295,-5.340334
1479414255,24.874288,-19.159866,-3.844289
1479414255,24.679274,-18.923206,-3.355744
1479414255,24.595686,-18.9413,-2.474361
1479414255,24.383971,-19.094056,-1.90941
1479414255,24.214599,-19.216261,-1.45745
1479414255,23.825859,-18.645517,-0.302065
1479414255,23.623266,-18.442586,0.108739
1479414255,23.606035,-18.556804,0.437382
1479414255,23.59225,-18.648178,0.700296
1479414255,23.653644,-18.790418,0.840549
1479414255,24.209713,-18.835069,1.583455
1479414255,24.654567,-18.87079,2.17778
1479414255,24.431076,-18.484523,2.372927
1479414255,24.397127,-18.313791,2.809357
1479414255,24.369968,-18.177205,3.158502
1479414255,24.823327,-17.593334,4.193863
1479414255,25.243836,-16.901609,5.150823
1479414255,25.337022,-16.909179,5.732455
1479414255,25.411571,-16.915234,6.197761
1479414255,25.253945,-16.712656,6.920397
1479414255,24.960519,-14.726867,9.663217
1479414255,25.18279,-14.547119,10.393543
1479414255,25.360608,-14.40332,10.977803
1479414255,25.573211,-13.795235,11.833154
1479414255,25.941028,-13.18481,12.492704
1479414255,26.618995,-12.552927,12.446898
1479414255,27.161368,-12.04742,12.410253
1479414255,27.522845,-11.712155,12.731328
1479414255,27.782653,-11.229373,13.193675
1479414255,27.947451,-11.126858,13.428144
1479414255,28.18476,-10.73033,13.513497
1479414255,28.124293,-10.451061,13.543845
1479414255,28.582872,-10.020224,13.918514
1479414255,28.949736,-9.675555,14.218249
1479414255,28.736273,-9.46896,15.08874
1479414255,28.855191,-9.165402,15.504821
1479414255,28.950325,-8.922556,15.837685
1479414255,28.826599,-9.070671,16.064729
1479414255,29.289561,-8.777631,15.795065
1479414255,29.370243,-8.68148,16.139959
1479414255,29.434789,-8.604559,16.415874
1479414255,30.136078,-7.664106,16.953348
1479414255,30.481988,-7.237535,16.926428
1479414255,32.022973,-6.761554,17.588446
1479414256,32.936782,-6.221848,18.502685
1479414256,33.374348,-6.014588,18.516289
1479414256,33.724401,-5.84878,18.527172
1479414256,34.004443,-5.439571,18.956348
1479414256,34.798782,-4.47695,20.205064
1479414256,35.04644,-3.252436,21.256523
1479414256,34.844809,-2.878511,21.490219
1479414256,34.611082,-2.648512,21.607098
1479414256,34.4241,-2.464513,21.700601
1479414256,34.709047,-2.455595,21.635247
1479414256,34.790174,-1.049843,21.765564
1479414256,34.42253,-0.632452,22.247842
1479414256,33.600653,-0.011806,23.521341
1479414256,33.32607,0.059696,24.072933
1479414256,33.061029,0.784924,24.741085
1479414256,32.025308,1.250205,25.188884
1479414256,31.269153,1.69157,25.336889
1479414256,30.836014,3.050928,26.634921
1479414256,31.114358,3.616133,26.703953
1479414256,30.685237,4.137438,27.109569
1479414256,30.067303,4.473273,27.693657
1479414256,29.992436,4.684869,27.62102
1479414256,29.932543,4.854145,27.562911
1479414256,29.667363,5.058707,27.726658
