Time (s)	mag_x	mag_y	mag_z
1479414247.501301	25.184729	7.468262	-61.023186
1479414247.507741	25.434580	7.703125	-61.222378
1479414247.519241	25.706883	7.821875	-61.171498
1479414247.548894	25.736890	7.923735	-61.308465
1479414247.573104	25.466407	8.431425	-61.312030
1479414247.597194	25.162939	9.378613	-60.935890
1479414247.621219	25.012172	9.279578	-60.989488
1479414247.651068	25.103978	9.534243	-60.925682
1479414247.675221	25.713141	9.835510	-60.688627
1479414247.711241	25.358076	9.341860	-61.842485
1479414247.735043	24.993883	9.478566	-61.737661
1479414247.765286	25.302678	9.308448	-61.633959
1479414247.783075	25.094409	9.313556	-61.710997
1479414247.807224	24.577235	9.113489	-61.611698
1479414247.819144	24.296788	9.088447	-61.763266
1479414247.843328	24.182633	8.914107	-61.420900
1479414247.855193	24.270794	8.790661	-61.050003
1479414247.909070	24.408312	8.839855	-61.675446
1479414247.921251	24.161650	8.454697	-61.533953
1479414247.950840	24.385832	8.176631	-61.610514
1479414247.987154	24.003522	8.633561	-61.980919
1479414247.999235	23.910240	8.497083	-61.848409
1479414248.041353	23.815059	8.645523	-61.253374
1479414248.071099	23.975717	8.782744	-60.772209
1479414248.101235	24.291805	8.943891	-60.806076
1479414248.143285	24.279830	8.572835	-61.171003
1479414248.155146	24.348552	8.517643	-61.270554
1479414248.167326	24.113842	8.611771	-61.350195
1479414248.179217	24.070918	8.687073	-61.413908
1479414248.197209	24.036578	8.747315	-61.464878
1479414248.209125	23.864263	8.657227	-61.505654
1479414248.239092	23.225051	9.398673	-61.185950
1479414248.245354	23.287463	9.247454	-61.352590
1479414248.275475	23.116617	9.527512	-61.340270
1479414248.292874	23.490404	9.488806	-61.335890
1479414248.299328	23.572167	9.250420	-61.122151
1479414248.311328	23.637578	9.059712	-60.951160
1479414248.323783	23.617484	8.976285	-61.164758
1479414248.335440	23.601410	8.909544	-61.335636
1479414248.359228	23.516128	8.925292	-60.981792
1479414248.377262	23.523682	8.823515	-61.607522
1479414248.389134	23.598790	8.856469	-61.339457
1479414248.401112	23.731298	8.537128	-61.335239
1479414248.431384	23.994531	8.422981	-61.539400
1479414248.455147	23.699501	9.124302	-61.838251
1479414248.491093	23.460926	9.893143	-61.340676
1479414248.539195	23.414095	9.788977	-61.248499
