time,x,y,z,MF
0.008,4.56,-36.18,-36.60,51.66
0.030,4.38,-36.18,-36.54,51.61
0.049,4.68,-36.06,-36.48,51.51
0.089,4.86,-36.12,-36.42,51.52
0.089,4.92,-36.06,-36.54,51.57
0.147,5.04,-36.18,-36.48,51.62
0.148,5.04,-36.24,-36.60,51.75
0.153,5.28,-36.18,-36.42,51.61
0.170,5.40,-36.24,-36.36,51.62
0.189,5.76,-36.12,-36.54,51.70
0.210,5.76,-36.24,-36.78,51.95
0.303,5.88,-36.24,-36.90,52.05
0.304,5.94,-36.00,-37.14,52.06
0.305,5.88,-35.82,-37.56,52.23
0.306,6.00,-35.40,-37.98,52.26
0.311,6.18,-34.68,-38.76,52.37
0.346,6.36,-33.60,-39.66,52.37
0.421,6.54,-31.80,-40.56,51.95
0.422,6.96,-29.64,-41.64,51.58
0.422,7.26,-27.18,-42.96,51.35
0.423,7.32,-24.36,-44.16,50.96
0.431,7.08,-21.18,-45.54,50.72
0.451,6.48,-17.76,-46.86,50.53
0.479,5.52,-14.40,-48.00,50.42
0.492,4.20,-10.98,-48.90,50.29
0.558,2.70,-8.34,-49.68,50.45
0.559,0.72,-6.42,-50.16,50.57
0.560,-1.32,-4.92,-50.40,50.66
0.572,-3.00,-4.08,-50.58,50.83
0.592,-4.62,-4.32,-50.40,50.79
0.627,-5.76,-5.28,-50.04,50.65
0.682,-6.90,-6.90,-49.74,50.69
0.683,-7.50,-9.42,-49.38,50.83
0.684,-7.98,-12.18,-48.72,50.85
0.693,-7.92,-15.06,-48.00,50.93
0.713,-7.08,-18.12,-47.22,51.07
0.734,-6.30,-21.30,-46.08,51.15
0.756,-4.86,-24.30,-44.82,51.21
0.841,-3.18,-27.30,-43.38,51.35
0.842,-1.26,-30.06,-41.58,51.32
0.843,1.14,-32.34,-39.48,51.05
0.846,3.84,-34.32,-37.32,50.85
0.855,6.84,-36.30,-34.80,50.75
0.875,9.66,-37.92,-32.28,50.73
0.897,12.66,-39.06,-29.58,50.60
0.993,15.54,-40.02,-26.82,50.62
0.997,18.42,-40.56,-24.00,50.60
0.998,21.36,-40.68,-21.06,50.54
0.999,23.94,-40.98,-17.94,50.74
1.000,26.40,-40.62,-14.52,50.57
1.024,28.68,-40.14,-11.34,50.62
1.107,30.84,-39.36,-8.04,50.64
1.107,32.76,-38.22,-4.86,50.57
1.108,34.50,-36.48,-1.44,50.23
1.109,36.06,-34.80,1.98,50.15
1.116,37.62,-32.82,5.22,50.19
1.136,39.06,-30.12,8.46,50.04
1.156,40.20,-27.72,10.98,50.05
1.189,41.10,-24.54,13.50,49.74
1.243,41.76,-21.00,15.84,49.35
1.245,42.54,-17.52,18.12,49.45
1.246,43.08,-13.92,19.86,49.44
1.257,43.68,-9.90,20.82,49.39
1.277,43.74,-5.70,21.60,49.11
1.317,43.92,-1.62,21.96,49.13
1.318,43.98,2.46,22.32,49.38
1.375,43.62,6.60,22.32,49.44
1.376,43.26,10.50,22.02,49.66
1.379,42.60,14.34,21.30,49.74
1.398,41.94,17.88,20.64,50.04
1.418,41.22,20.88,20.46,50.53
1.438,40.44,23.70,20.40,51.12
1.471,39.30,26.10,20.40,51.40
1.531,37.98,28.50,20.34,51.66
1.532,36.90,30.24,20.70,52.00
1.533,35.40,31.92,21.18,52.16
1.539,33.72,33.30,21.96,52.23
1.559,31.86,34.56,23.04,52.35
1.610,29.88,36.00,23.76,52.47
1.611,27.78,36.96,24.30,52.23
1.661,25.68,38.04,24.78,52.16
1.663,23.64,39.00,25.56,52.28
1.664,21.30,39.84,26.40,52.32
1.681,19.32,40.44,27.42,52.54
1.701,17.22,40.74,28.26,52.49
1.720,15.36,40.98,29.16,52.59
1.758,13.20,40.74,30.30,52.46
1.770,11.46,40.68,31.56,52.75
1.792,9.78,40.26,32.76,52.82
1.807,8.10,39.36,34.20,52.77
1.821,6.66,38.46,35.52,52.77
1.841,5.22,37.02,36.90,52.53
1.861,4.14,35.10,38.70,52.41
1.882,2.88,32.82,40.38,52.11
1.922,1.68,30.12,42.30,51.95
1.923,0.18,26.58,44.40,51.75
1.942,-1.08,22.38,46.26,51.40
1.962,-2.52,17.64,47.76,50.97
1.982,-3.60,12.42,49.14,50.81
2.002,-4.74,6.72,49.92,50.59
2.026,-5.94,1.20,50.10,50.46
2.104,-6.66,-4.62,49.92,50.57
2.106,-6.96,-10.44,49.02,50.60
2.107,-6.78,-16.14,47.28,50.42
2.108,-6.54,-21.78,44.94,50.36
2.124,-5.88,-27.00,42.06,50.32
2.144,-4.86,-31.92,38.28,50.08
2.165,-3.66,-36.42,34.26,50.13
2.230,-1.98,-40.50,29.28,50.01
2.231,-0.42,-43.92,23.82,49.96
2.232,1.20,-46.44,18.00,49.82
2.246,3.06,-48.30,12.18,49.90
2.278,4.98,-49.38,6.72,50.08
2.295,7.08,-49.80,1.44,50.32
2.312,9.18,-49.56,-3.66,50.53
2.375,11.22,-48.84,-8.52,50.83
2.376,13.02,-47.46,-12.78,50.84
2.376,15.06,-45.54,-16.68,50.78
2.391,17.10,-43.68,-19.98,50.99
2.405,18.60,-41.46,-23.10,50.97
2.425,20.58,-38.94,-25.92,51.10
2.459,22.20,-36.42,-28.50,51.30
2.507,24.00,-33.42,-30.72,51.35
2.508,25.44,-30.18,-32.40,51.06
2.509,26.82,-26.76,-33.96,50.88
2.526,28.14,-23.64,-35.22,50.90
2.548,29.28,-20.46,-36.24,50.88
2.567,30.54,-17.34,-37.02,51.03
2.606,31.14,-13.98,-37.80,50.93
2.607,31.92,-10.68,-38.16,50.88
2.669,32.28,-7.62,-38.40,50.74
2.671,32.52,-4.62,-38.76,50.80
2.672,32.64,-1.92,-39.00,50.89
2.688,32.40,0.90,-39.06,50.76
2.708,31.98,3.78,-39.36,50.85
2.742,31.38,6.66,-39.66,51.01
2.809,30.78,9.30,-39.78,51.15
2.810,29.70,11.88,-40.02,51.23
2.811,28.32,14.46,-40.26,51.30
2.815,26.88,16.92,-40.44,51.42
2.829,25.26,19.32,-40.56,51.54
2.861,23.46,21.48,-40.74,51.69
2.878,21.60,23.46,-40.74,51.74
2.933,19.44,25.32,-40.98,51.94
2.934,16.98,26.82,-41.10,51.93
2.935,14.58,28.14,-41.28,52.04
2.949,12.24,28.92,-41.52,52.06
2.969,9.42,29.58,-41.58,51.89
2.989,6.54,29.88,-41.88,51.86
3.023,3.72,30.00,-42.24,51.94
3.030,0.90,29.58,-42.66,51.92
3.094,-1.74,28.74,-42.72,51.52
3.095,-4.38,27.78,-43.14,51.50
3.096,-7.02,26.22,-43.44,51.22
3.111,-9.66,24.36,-43.56,50.83
3.132,-11.94,22.02,-43.86,50.51
3.196,-14.16,19.44,-44.10,50.23
3.197,-16.08,16.56,-44.34,49.99
3.199,-17.88,13.80,-44.58,49.97
3.212,-19.32,10.98,-44.70,49.92
3.232,-20.46,7.74,-44.82,49.87
3.251,-21.36,4.80,-45.00,50.04
3.291,-21.78,1.68,-45.42,50.40
3.293,-21.84,-1.50,-45.30,50.31
3.392,-21.48,-4.80,-45.48,50.52
3.394,-20.82,-8.10,-45.66,50.83
3.396,-19.74,-11.40,-45.42,50.82
3.397,-18.24,-15.00,-45.54,51.30
3.400,-16.68,-18.24,-45.24,51.55
3.413,-14.52,-21.24,-44.58,51.47
3.445,-11.88,-24.30,-43.74,51.43
3.508,-9.12,-27.12,-43.26,51.86
3.509,-6.12,-29.64,-42.00,51.77
3.510,-3.00,-31.98,-40.20,51.46
3.513,0.18,-34.56,-38.34,51.62
3.554,3.36,-36.90,-35.40,51.24
3.554,6.66,-39.00,-31.92,50.84
3.617,9.96,-41.04,-28.02,50.68
3.639,12.96,-42.42,-23.76,50.32
3.640,16.02,-43.50,-18.96,50.08
3.641,18.78,-44.34,-13.98,50.14
3.655,21.30,-44.40,-8.88,50.04
3.675,23.58,-43.74,-3.72,49.83
3.695,25.92,-42.60,1.14,49.88
3.778,27.78,-40.86,6.00,49.77
3.779,29.40,-38.64,10.32,49.64
3.781,31.20,-35.94,14.52,49.76
3.782,32.70,-32.64,18.36,49.72
3.796,33.90,-29.10,21.90,49.75
3.816,34.86,-25.38,24.72,49.70
3.846,35.88,-21.60,27.00,49.83
3.915,36.78,-17.76,28.80,49.98
3.916,37.62,-13.86,29.88,50.00
3.918,38.16,-10.02,30.54,49.89
3.919,38.70,-6.18,30.84,49.87
3.937,38.88,-2.52,30.84,49.69
3.956,39.18,0.96,30.66,49.76
3.990,39.48,4.44,30.24,49.93
3.997,39.48,7.68,29.76,50.03
4.072,39.18,11.16,29.10,50.06
4.073,39.06,14.34,28.32,50.33
4.074,38.88,17.16,27.42,50.57
4.077,38.46,19.74,26.70,50.81
4.098,37.98,22.02,26.04,51.04
4.131,37.50,24.30,25.08,51.24
4.189,36.84,26.10,24.42,51.33
4.190,36.18,27.90,24.12,51.66
4.191,35.46,29.28,23.76,51.76
4.199,34.26,30.36,23.88,51.63
4.219,33.12,31.56,24.42,51.86
4.238,31.98,32.28,24.96,51.84
4.261,30.78,33.00,25.62,51.89
4.364,29.70,33.24,26.28,51.74
4.365,28.80,33.48,27.24,51.89
4.366,27.66,33.42,28.08,51.68
4.367,26.88,33.18,29.16,51.71
4.367,26.16,33.12,30.24,51.92
4.379,25.26,32.88,31.14,51.85
4.411,24.12,32.40,31.98,51.52
4.459,23.10,31.86,33.18,51.47
4.460,21.90,31.32,34.68,51.60
4.461,20.76,30.12,36.18,51.45
4.480,19.86,28.68,37.74,51.39
4.500,18.60,27.12,39.36,51.29
4.520,17.46,24.84,40.98,51.00
4.542,16.44,21.96,42.66,50.72
4.607,15.24,18.72,44.58,50.69
4.607,13.98,14.58,46.14,50.37
4.608,12.60,9.90,47.58,50.21
4.621,10.80,5.22,48.54,50.00
4.642,8.94,0.00,48.96,49.77
4.661,7.02,-5.76,48.72,49.56
4.685,5.10,-11.40,48.12,49.71
4.779,3.36,-16.86,46.86,49.91
4.780,2.04,-22.20,44.94,50.16
4.782,0.78,-27.00,42.54,50.39
4.784,-0.18,-31.44,39.72,50.66
4.785,-0.84,-35.40,36.84,51.10
4.823,-1.26,-38.88,33.54,51.36
4.824,-1.20,-41.70,30.48,51.66
4.901,-0.96,-44.04,27.00,51.67
