Receipt Time (s),acc_x,acc_y,acc_z,angvel_roll,angvel_pitch,angvel_yaw,mag_x,mag_y,mag_z
1475539342,0,0,0,0,0,0,0,0,0
1475539342,0,0,0,0,0,0,0,0,0
1475539342,-60,270,-9650,-29,8,11,-852,109,3036
1475539342,-50,270,-9650,-1,36,-15,-836,109,3036
1475539342,-70,250,-9670,50,-31,-4,-836,109,3036
1475539342,-50,250,-9660,-102,-62,16,-852,109,3036
1475539342,-50,270,-9670,11,-28,-11,-852,94,3036
1475539342,-50,260,-9670,37,1,-3,-852,78,3036
1475539342,-40,290,-9660,53,44,-10,-852,78,3036
1475539342,-60,300,-9680,-12,-18,41,-852,78,3036
1475539342,-70,300,-9700,-19,12,-38,-852,78,3036
1475539342,-70,300,-9710,-29,-8,-28,-852,78,3036
1475539342,-70,290,-9710,-18,-40,-12,-836,78,3036
1475539342,-70,270,-9700,-54,24,11,-836,78,3036
1475539342,-60,260,-9690,-45,38,5,-836,78,3036
1475539342,-70,260,-9670,5,24,28,-836,78,3036
1475539342,-80,260,-9670,54,52,3,-852,94,3020
1475539342,-80,260,-9660,4,12,19,-852,94,2986
1475539342,-90,280,-9650,-19,35,-1,-852,94,2986
1475539343,-80,280,-9650,19,-41,43,-852,94,2986
1475539343,-80,280,-9660,-37,8,6,-852,94,2986
1475539343,-70,260,-9670,-4,-5,-36,-852,94,2986
1475539343,-60,270,-9670,-34,-19,-18,-852,94,3003
1475539343,-70,280,-9680,-19,-9,19,-867,94,3020
1475539343,-70,300,-9680,51,-6,10,-867,109,3036
1475539343,-80,320,-9680,58,55,23,-867,109,3053
1475539343,-70,330,-9690,-1,-41,5,-867,109,3053
1475539343,-60,340,-9690,15,64,17,-867,109,3070
1475539343,-50,320,-9700,-23,18,-35,-867,94,3070
1475539343,-40,290,-9700,5,-17,-49,-867,94,3053
1475539343,-40,280,-9700,-51,-52,34,-867,94,3036
1475539343,-40,280,-9690,-57,5,3,-867,94,3036
1475539343,-60,280,-9690,-5,-51,12,-867,94,3036
1475539343,-80,280,-9690,25,12,-16,-867,109,3020
1475539343,-80,290,-9680,18,13,28,-852,109,3020
1475539343,-80,290,-9670,-4,17,-25,-836,125,3003
1475539343,-70,310,-9670,-26,-10,18,-836,125,3003
1475539343,-70,310,-9650,17,-29,-22,-836,125,3003
1475539343,-80,290,-9670,-46,12,-46,-836,125,3003
1475539343,-80,280,-9670,-64,-18,-39,-836,125,3003
1475539343,-90,270,-9660,-32,30,-34,-836,125,3003
1475539343,-80,260,-9680,-32,5,44,-836,125,3003
1475539343,-60,280,-9670,-25,-16,7,-836,125,3003
1475539343,-60,280,-9680,14,30,-9,-836,125,3003
1475539343,-60,290,-9690,3,-3,25,-852,125,3003
1475539343,-70,290,-9690,-24,-18,7,-852,94,3036
1475539343,-80,280,-9680,-24,-10,-44,-852,78,3053
1475539343,-80,290,-9670,53,-20,-22,-852,78,3053
1475539343,-70,280,-9650,-27,7,0,-852,78,3053
1475539343,-60,290,-9660,-15,-63,-17,-852,94,3036
1475539343,-60,310,-9670,7,2,17,-836,94,3020
1475539343,-60,310,-9690,24,12,10,-821,94,3003
1475539343,-70,310,-9710,34,-34,12,-821,94,3003
