Receipt Time (s)	acc_x	acc_y	acc_z	angvel_roll	angvel_pitch	angvel_yaw	mag_x	mag_y	mag_z	
1475539342.309361	0	0	0	0	0	0	0	0	0
1475539342.319532	0	0	0	0	0	0	0	0	0
1475539342.329723	-60	270	-9650	-29	8	11	-852	109	3036
1475539342.339887	-50	270	-9650	-1	36	-15	-836	109	3036
1475539342.350053	-70	250	-9670	50	-31	-4	-836	109	3036
1475539342.360229	-50	250	-9660	-102	-62	16	-852	109	3036
1475539342.370413	-50	270	-9670	11	-28	-11	-852	94	3036
1475539342.380590	-50	260	-9670	37	1	-3	-852	78	3036
1475539342.390780	-40	290	-9660	53	44	-10	-852	78	3036
1475539342.400978	-60	300	-9680	-12	-18	41	-852	78	3036
1475539342.411161	-70	300	-9700	-19	12	-38	-852	78	3036
1475539342.421340	-70	300	-9710	-29	-8	-28	-852	78	3036
1475539342.431517	-70	290	-9710	-18	-40	-12	-836	78	3036
1475539342.441701	-70	270	-9700	-54	24	11	-836	78	3036
1475539342.451875	-60	260	-9690	-45	38	5	-836	78	3036
1475539342.462046	-70	260	-9670	5	24	28	-836	78	3036
1475539342.472226	-80	260	-9670	54	52	3	-852	94	3020
1475539342.482410	-80	260	-9660	4	12	19	-852	94	2986
1475539342.492588	-90	280	-9650	-19	35	-1	-852	94	2986
1475539342.502809	-80	280	-9650	19	-41	43	-852	94	2986
1475539342.512970	-80	280	-9660	-37	8	6	-852	94	2986
1475539342.523134	-70	260	-9670	-4	-5	-36	-852	94	2986
1475539342.533311	-60	270	-9670	-34	-19	-18	-852	94	3003
1475539342.543490	-70	280	-9680	-19	-9	19	-867	94	3020
1475539342.553670	-70	300	-9680	51	-6	10	-867	109	3036
1475539342.563867	-80	320	-9680	58	55	23	-867	109	3053
1475539342.574029	-70	330	-9690	-1	-41	5	-867	109	3053
1475539342.584190	-60	340	-9690	15	64	17	-867	109	3070
1475539342.594369	-50	320	-9700	-23	18	-35	-867	94	3070
1475539342.604575	-40	290	-9700	5	-17	-49	-867	94	3053
1475539342.614757	-40	280	-9700	-51	-52	34	-867	94	3036
1475539342.624926	-40	280	-9690	-57	5	3	-867	94	3036
1475539342.635103	-60	280	-9690	-5	-51	12	-867	94	3036
1475539342.645278	-80	280	-9690	25	12	-16	-867	109	3020
1475539342.655459	-80	290	-9680	18	13	28	-852	109	3020
1475539342.665647	-80	290	-9670	-4	17	-25	-836	125	3003
1475539342.675846	-70	310	-9670	-26	-10	18	-836	125	3003
1475539342.686012	-70	310	-9650	17	-29	-22	-836	125	3003
1475539342.696198	-80	290	-9670	-46	12	-46	-836	125	3003
1475539342.706405	-80	280	-9670	-64	-18	-39	-836	125	3003
1475539342.716581	-90	270	-9660	-32	30	-34	-836	125	3003
1475539342.726785	-80	260	-9680	-32	5	44	-836	125	3003
1475539342.736954	-60	280	-9670	-25	-16	7	-836	125	3003
1475539342.747123	-60	280	-9680	14	30	-9	-836	125	3003
1475539342.757302	-60	290	-9690	3	-3	25	-852	125	3003
1475539342.767480	-70	290	-9690	-24	-18	7	-852	94	3036
1475539342.777656	-80	280	-9680	-24	-10	-44	-852	78	3053
1475539342.787859	-80	290	-9670	53	-20	-22	-852	78	3053
1475539342.798020	-70	280	-9650	-27	7	0	-852	78	3053
1475539342.808207	-60	290	-9660	-15	-63	-17	-852	94	3036
1475539342.818389	-60	310	-9670	7	2	17	-836	94	3020
1475539342.828564	-60	310	-9690	24	12	10	-821	94	3003
1475539342.838746	-70	310	-9710	34	-34	12	-821	94	3003
1475539342.848914	-80	300	-9700	-61	39	-29	-821	94	3003
1475539342.859076	-80	300	-9720	49	-32	-1	-821	94	3003
1475539342.869249	-70	290	-9710	41	35	7	-852	94	3003
1475539342.879431	-50	280	-9690	47	-15	-2	-867	94	3003
1475539342.889605	-40	280	-9700	23	33	29	-867	78	3020
1475539342.899806	-20	280	-9670	25	-53	0	-867	78	3020
1475539342.909991	-40	290	-9680	1	38	-18	-867	94	3020
1475539342.920172	-50	290	-9670	21	9	17	-852	109	3020
1475539342.930363	-50	290	-9660	6	9	7	-836	109	3036
1475539342.940542	-50	290	-9670	-55	15	24	-836	109	3036
1475539342.950745	-40	290	-9670	82	62	15	-836	109	3036
1475539342.960914	-30	290	-9690	-9	18	-23	-852	109	3036
1475539342.971084	-20	290	-9680	-26	-3	-26	-852	109	3036
1475539342.981260	-50	290	-9690	-1	19	17	-852	109	3053
1475539342.991446	-50	280	-9690	-24	-40	-16	-852	109	3053
1475539343.001622	-60	280	-9680	-30	35	11	-852	109	3053
1475539343.011843	-90	280	-9680	14	33	-50	-852	109	3053
1475539343.022014	-70	270	-9670	-42	-14	1	-852	109	3053
1475539343.032191	-60	290	-9680	-10	19	12	-852	94	3053
1475539343.042369	-40	310	-9700	-3	-13	-2	-852	94	3053
1475539343.052545	-30	310	-9730	8	-40	11	-852	94	3053
1475539343.062798	-30	310	-9750	5	3	-43	-852	94	3053
1475539343.072959	-50	280	-9730	50	4	-61	-852	94	3036
1475539343.083130	-40	270	-9710	25	-7	8	-852	94	3020
1475539343.093307	-40	270	-9700	53	-13	1	-852	78	3020
1475539343.103487	-40	290	-9680	14	-12	14	-852	78	3020
1475539343.113695	-40	300	-9690	-9	22	-3	-852	78	3020
1475539343.123896	-60	310	-9710	-32	-2	-13	-852	94	3020
1475539343.134064	-60	300	-9690	-31	17	26	-852	94	3020
1475539343.144228	-60	280	-9680	-38	-17	-54	-852	94	3020
1475539343.154406	-70	270	-9660	-29	-55	29	-852	94	3020
1475539343.164587	-60	260	-9650	-34	16	31	-852	94	3020
1475539343.174765	-60	280	-9650	-12	-57	-15	-852	94	3020
1475539343.184973	-60	280	-9670	-3	32	29	-852	94	2986
1475539343.195150	-40	280	-9690	33	-76	-1	-836	78	2986
1475539343.205330	-40	280	-9710	57	-17	24	-836	78	2986
1475539343.215531	-30	270	-9710	-43	30	-19	-836	78	2986
1475539343.225713	-30	270	-9710	-55	-69	23	-836	78	2986
1475539343.235913	-40	290	-9700	-4	-12	-38	-852	94	3020
1475539343.246073	-50	320	-9710	-8	-12	-22	-852	94	3053
1475539343.256249	-60	330	-9700	41	-8	-7	-852	94	3070
1475539343.266427	-60	330	-9700	3	-36	-22	-852	94	3070
1475539343.276610	-70	330	-9710	-9	-16	-50	-852	94	3070
1475539343.286788	-70	300	-9690	18	50	-52	-867	94	3053
1475539343.296992	-70	290	-9700	13	-52	27	-867	94	3036
1475539343.307153	-70	280	-9730	2	10	-17	-867	94	3036
1475539343.317361	-70	280	-9730	48	16	8	-867	94	3036
1475539343.327543	-70	300	-9740	-53	-29	26	-867	94	3036
1475539343.337720	-70	310	-9740	15	37	6	-867	94	3036
1475539343.347913	-90	310	-9710	14	-28	30	-867	94	3036
1475539343.358074	-90	320	-9710	-1	13	7	-867	94	3036
1475539343.368255	-90	310	-9710	37	-30	0	-867	94	3036
1475539343.378432	-80	320	-9700	-1	-23	5	-867	94	3036
1475539343.388609	-80	320	-9690	-40	-31	1	-867	94	3036
1475539343.398786	-80	310	-9690	4	-13	2	-882	109	3053
1475539343.408986	-90	290	-9680	-3	-5	39	-882	109	3053
1475539343.419171	-80	280	-9680	-54	-34	29	-882	109	3070
1475539343.429351	-60	280	-9700	10	-43	-20	-882	109	3070
1475539343.439534	-50	290	-9720	-27	5	4	-882	109	3070
1475539343.449712	-50	290	-9720	20	-10	-7	-882	109	3070
1475539343.459900	-70	290	-9730	-20	-4	29	-852	78	3070
1475539343.470062	-60	300	-9730	-47	11	40	-852	78	3070
1475539343.480225	-60	310	-9720	-3	-24	12	-852	78	3070
1475539343.490383	-60	310	-9700	-41	-7	-28	-852	78	3053
1475539343.500569	-50	310	-9680	26	23	-13	-852	78	3053
1475539343.510755	-60	290	-9690	42	63	19	-852	94	3053
1475539343.520975	-60	290	-9720	0	9	32	-852	94	3053
1475539343.531144	-90	290	-9720	-73	-16	-11	-852	94	3053
1475539343.541322	-80	290	-9730	13	-34	-32	-867	94	3036
1475539343.551498	-80	300	-9690	-2	9	28	-867	94	3036
1475539343.561672	-80	290	-9680	9	-17	-35	-867	94	3036
1475539343.571855	-80	270	-9680	36	5	46	-867	94	3053
1475539343.582025	-80	260	-9680	-8	-37	33	-867	94	3070
1475539343.592188	-90	240	-9690	31	-43	-17	-867	94	3070
1475539343.602364	-90	260	-9680	26	17	2	-867	94	3070
1475539343.612547	-80	280	-9670	1	-48	-42	-836	62	3087
1475539343.622756	-90	280	-9650	-10	-19	43	-836	62	3087
1475539343.632947	-90	280	-9660	-5	-29	-9	-836	62	3087
1475539343.643112	-90	270	-9670	37	-28	0	-836	62	3087
1475539343.653291	-100	280	-9690	31	12	40	-836	62	3087
1475539343.663468	-90	270	-9710	23	-3	2	-836	62	3087
1475539343.673644	-90	260	-9730	-29	44	26	-852	78	3070
1475539343.683822	-90	280	-9730	-22	6	12	-852	94	3053
1475539343.694000	-80	280	-9730	-44	38	-9	-852	94	3053
1475539343.704162	-80	300	-9720	63	-3	10	-852	94	3053
1475539343.714339	-70	320	-9700	53	9	18	-852	94	3053
1475539343.724546	-70	310	-9710	-46	4	-21	-852	94	3053
1475539343.734745	-80	320	-9710	-25	35	-12	-852	94	3053
1475539343.744949	-70	310	-9710	-19	-17	-16	-852	78	3070
1475539343.755110	-70	300	-9720	58	14	0	-852	78	3070
1475539343.765273	-80	300	-9700	35	-14	-36	-852	78	3070
1475539343.775451	-70	290	-9710	-18	33	27	-852	94	3053
1475539343.785630	-70	290	-9720	17	23	35	-852	94	3036
1475539343.795809	-70	300	-9700	28	-72	17	-852	94	3036
1475539343.805980	-60	290	-9710	-9	3	-9	-852	94	3036
1475539343.816142	-60	270	-9690	-3	-33	-24	-852	94	3036
1475539343.826403	-50	270	-9680	11	-37	31	-852	94	3036
